fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2023-03-31;1.2831;1.34077;1.36807;1.37642;1.37231;1.34998;1.23874;1.12565;1.1836;1.08168;1.02366;1.01259;1.00992;1.0131;1.08383;1.12463;1.1501;1.17035;1.13615;1.16815;1.18726;1.21199;1.3094;1.34953
2023-04-01;1.21612;1.27472;1.30538;1.31821;1.33003;1.33143;1.29146;1.22916;1.12535;1.01573;0.98783;0.97949;0.97207;0.95649;0.96261;1.02495;1.07076;1.08496;1.098;1.13057;1.16584;1.14412;1.18306;1.23117
2023-04-02;1.29795;1.34624;1.39717;1.40572;1.3977;1.39074;1.35078;1.28589;1.19125;1.06977;1.0149;1.00222;1.00171;0.97551;0.97739;1.03086;1.06546;1.08744;1.11153;1.12621;1.13172;1.09752;1.1389;1.18715
2023-04-03;1.2466;1.31244;1.33308;1.33953;1.33564;1.28777;1.17598;1.07587;1.28271;1.02798;0.98165;0.99798;0.99309;0.97161;1.13468;1.17408;1.23086;1.25499;1.10209;1.12611;1.15229;1.12992;1.3396;1.40598
2023-04-04;1.18451;1.23683;1.26555;1.28002;1.27687;1.24217;1.13838;1.04054;1.263;1.0321;1.00055;0.98865;0.97762;0.96347;1.10743;1.15751;1.19496;1.21297;1.06858;1.10186;1.10297;1.08723;1.30367;1.36316
2023-04-05;1.15969;1.21123;1.24258;1.25304;1.25737;1.22672;1.14395;1.0496;1.27437;1.05282;1.01876;1.03379;1.02699;1.00429;1.17194;1.22804;1.27465;1.29419;1.11761;1.1281;1.12489;1.11702;1.3335;1.39188
2023-04-06;1.18606;1.2335;1.26354;1.275;1.28706;1.27012;1.20563;1.0918;1.31059;1.07789;1.05069;1.04253;1.02858;1.00077;1.14495;1.20341;1.24309;1.26607;1.09829;1.12025;1.14052;1.11733;1.33225;1.38643
2023-04-07;1.1972;1.24213;1.26912;1.27721;1.27912;1.26287;1.17519;1.09738;1.30987;1.05459;1.02806;1.02264;1.03193;1.01282;1.16633;1.21175;1.25189;1.28012;1.11003;1.13119;1.16307;1.16005;1.37776;1.44257
2023-04-08;1.21612;1.27472;1.30538;1.31821;1.33003;1.33143;1.29146;1.22916;1.12535;1.01573;0.98783;0.97949;0.97207;0.95649;0.96261;1.02495;1.07076;1.08496;1.098;1.13057;1.16584;1.14412;1.18306;1.23117
2023-04-09;1.29795;1.34624;1.39717;1.40572;1.3977;1.39074;1.35078;1.28589;1.19125;1.06977;1.0149;1.00222;1.00171;0.97551;0.97739;1.03086;1.06546;1.08744;1.11153;1.12621;1.13172;1.09752;1.1389;1.18715
2023-04-10;1.2466;1.31244;1.33308;1.33953;1.33564;1.28777;1.17598;1.07587;1.28271;1.02798;0.98165;0.99798;0.99309;0.97161;1.13468;1.17408;1.23086;1.25499;1.10209;1.12611;1.15229;1.12992;1.3396;1.40598
2023-04-11;1.18451;1.23683;1.26555;1.28002;1.27687;1.24217;1.13838;1.04054;1.263;1.0321;1.00055;0.98865;0.97762;0.96347;1.10743;1.15751;1.19496;1.21297;1.06858;1.10186;1.10297;1.08723;1.30367;1.36316
2023-04-12;1.15969;1.21123;1.24258;1.25304;1.25737;1.22672;1.14395;1.0496;1.27437;1.05282;1.01876;1.03379;1.02699;1.00429;1.17194;1.22804;1.27465;1.29419;1.11761;1.1281;1.12489;1.11702;1.3335;1.39188
2023-04-13;1.18606;1.2335;1.26354;1.275;1.28706;1.27012;1.20563;1.0918;1.31059;1.07789;1.05069;1.04253;1.02858;1.00077;1.14495;1.20341;1.24309;1.26607;1.09829;1.12025;1.14052;1.11733;1.33225;1.38643
2023-04-14;1.1972;1.24213;1.26912;1.27721;1.27912;1.26287;1.17519;1.09738;1.30987;1.05459;1.02806;1.02264;1.03193;1.01282;1.16633;1.21175;1.25189;1.28012;1.11003;1.13119;1.16307;1.16005;1.37776;1.44257
2023-04-15;1.21612;1.27472;1.30538;1.31821;1.33003;1.33143;1.29146;1.22916;1.12535;1.01573;0.98783;0.97949;0.97207;0.95649;0.96261;1.02495;1.07076;1.08496;1.098;1.13057;1.16584;1.14412;1.18306;1.23117
2023-04-16;1.29795;1.34624;1.39717;1.40572;1.3977;1.39074;1.35078;1.28589;1.19125;1.06977;1.0149;1.00222;1.00171;0.97551;0.97739;1.03086;1.06546;1.08744;1.11153;1.12621;1.13172;1.09752;1.1389;1.18715
2023-04-17;1.2466;1.31244;1.33308;1.33953;1.33564;1.28777;1.17598;1.07587;1.28271;1.02798;0.98165;0.99798;0.99309;0.97161;1.13468;1.17408;1.23086;1.25499;1.10209;1.12611;1.15229;1.12992;1.3396;1.40598
2023-04-18;1.18451;1.23683;1.26555;1.28002;1.27687;1.24217;1.13838;1.04054;1.263;1.0321;1.00055;0.98865;0.97762;0.96347;1.10743;1.15751;1.19496;1.21297;1.06858;1.10186;1.10297;1.08723;1.30367;1.36316
